order,family,scientific name,common name,description,region,source
Perciformes,Scaridae,Scarus guacamaia,rainbow parrotfish,functionally dependant on mangrove habitats; has experienced localized extinction after mangrove deforestation,Belize and Mexico,"Mumby et al. 2004 (D. Wesby, personal communication with Mumby)"
Decapoda,Portunidae,family,blue crab,"""use mangroves as habitat during some part of life cycle"" - either permanent or temporary resident",Northern Mexico,Aburto-Oropeza et al. 2008
Siluriformes,Ariidae,family,sea catfish,"""use mangroves as habitat during some part of life cycle"" - notes that majority use only as nursery grounds; does NOT provide any evidence for this claim",Northern Mexico,Aburto-Oropeza et al. 2008
Perciformes,Haemulidae,family,grunts,"""use mangroves as habitat during some part of life cycle"" - notes that majority use only as nursery grounds; does NOT provide any evidence for this claim",Northern Mexico,Aburto-Oropeza et al. 2008
Mugiliformes,Mugilidae,family,mullets,"""use mangroves as habitat during some part of life cycle"" - notes that majority use only as nursery grounds; does NOT provide any evidence for this claim",Northern Mexico,Aburto-Oropeza et al. 2008
Perciformes,Gerreidae,family,mojarra,"""use mangroves as habitat during some part of life cycle"" - notes that majority use only as nursery grounds; does NOT provide any evidence for this claim",Northern Mexico,Aburto-Oropeza et al. 2008
Perciformes,Lutjanidae,family,snappers,"""use mangroves as habitat during some part of life cycle"" - notes that majority use only as nursery grounds; does NOT provide any evidence for this claim",Northern Mexico,Aburto-Oropeza et al. 2008
Perciformes,Centropomidae,family,snooks,"""use mangroves as habitat during some part of life cycle"" - notes that majority use only as nursery grounds; does NOT provide any evidence for this claim",Northern Mexico,Aburto-Oropeza et al. 2008
Gonorynchiformes,Chanidae,family,milkfish,"""use mangroves as habitat during some part of life cycle"" - notes that majority use only as nursery grounds; does NOT provide any evidence for this claim",Northern Mexico,Aburto-Oropeza et al. 2008
Perciformes,Haemulidae,Haemulon sciurus,bluestriped grunt,high dependence on mangrove and/or seagrass nurseries (based on mean fish densities),,Nagelkerken et al. 2002
